category,company,funds_against,funds_else,funds_for,id,link,outcome,proposal,year
env,Abbott Laboratories,"[284, 226, 282, 224, 269, 270, 295, 274, 222, 316, 331, 394, 221, 349, 344, 348, 13, 14, 13, 11, 15, 303, 306, 305, 303, 308, 330, 327, 97]","[18, 391, 404, 395, 293, 314]",[],0,http://www.sec.gov/Archives/edgar/data/1800/000104746909002772/a2190930zdef14a.htm,4.25,Shareholder proposal - animal testing,2009
env,Allergan,"[118, 283, 274, 16, 349, 341, 113, 11, 308, 97]",[],[],1,,-,Report on Animal Testing,2009
env,Allergan,[],"[391, 404, 395]",[],2,,-,To approve a stockholder proposal regarding additional animal testing disclosure.,2009
env,Apple,"[284, 282, 269, 270, 274, 222, 341, 331, 394, 221, 344, 348, 11, 308, 330, 327, 97]","[391, 404, 395, 309, 293, 314]","[118, 113]",3,http://www.sec.gov/Archives/edgar/data/320193/000119312509002537/ddef14a.htm,6.37,Shareholder proposal regarding sustainability report.,2009
env,Aqua America,"[279, 403, 392]",[],[],4,,-,Prepare Sustainability Report,2009
env,Aqua America,[],"[404, 395, 390]",[],5,,-,Shareholder proposal regarding the preparation and publication of a sustainability,2009
env,Baxter International,"[284, 118, 281, 269, 274, 222, 341, 331, 220, 349, 275, 344, 113, 14, 11, 305, 308, 327, 97]",[],[],6,,-,Report on Animal Testing,2009
env,Baxter International,[],"[391, 404, 395, 232, 293]",[],7,,-,Shareholder proposal relating to animal testing,2009
env,Bed Bath & Beyond,"[336, 274, 344, 13, 14, 13, 10, 11, 13, 15, 303, 303, 306, 305, 303, 306, 307, 308, 97]","[391, 404, 395, 422, 309, 293]",[118],8,http://www.sec.gov/Archives/edgar/data/886158/000110465909036020/a09-12960_1def14a.htm,0.0,Shareholder proposal; sustainability report,2009
env,Berkshire Hathaway,[350],[],[],9,http://www.sec.gov/Archives/edgar/data/1067983/000119312509052444/ddef14a.htm,6.85,Prepare Sustainability Report,2009
env,Berkshire Hathaway,[],"[395, 395, 309, 293]",[],10,http://www.sec.gov/Archives/edgar/data/1067983/000119312509052444/ddef14a.htm,6.85,To approve the shareholder proposal with respect to the production of a sustainability,2009
env,Boston Properties,"[283, 274, 340, 316, 345, 16, 341, 344, 11, 308, 97]",[],[],11,,-,Prepare Sustainability Report,2009
env,Centex,[],"[404, 395, 95]",[],12,,-,Stockholder proposal regarding climate change.,2009
env,Chevron,"[14, 13, 11, 15, 306, 305, 303, 308, 284, 268, 226, 273, 224, 281, 269, 277, 283, 274, 267, 222, 316, 99, 331, 16, 220, 294, 312, 341, 275, 344, 113, 330, 325, 327, 97]",[],[],13,http://www.sec.gov/Archives/edgar/data/93410/000119312509077853/ddef14a.htm,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2009
env,Conocophillips,"[11, 308, 284, 268, 273, 269, 277, 283, 274, 267, 222, 316, 99, 331, 16, 312, 341, 275, 344, 330, 325, 327, 97]",[],[],14,http://www.sec.gov/Archives/edgar/data/1163165/000119312509067954/ddef14a.htm,23.2,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2009
env,Conocophillips,"[11, 308, 330, 325, 327, 97]",[],"[284, 268, 273, 269, 277, 283, 274, 267, 222, 316, 99, 331, 16, 312, 341, 275, 344]",15,http://www.sec.gov/Archives/edgar/data/1163165/000119312509067954/ddef14a.htm,25.87,Report on Environmental Impact of Oil Sands Operations in Canada,2009
env,Covance,"[295, 13, 13, 303, 303, 306]",[],[],16,,-,Report on Animal Welfare Act Violations,2009
env,Covance,[],"[272, 404, 395, 390, 293]",[],17,,-,Shareholder proposal submitted by peta to require annual reports by the board of directors pertaining to citations under the animal welfare act.,2009
env,Denny's,"[12, 302]","[272, 395, 288]",[],18,,-,A stockholder proposal that encourages denny's corporation to commit to selling at least 10 percent cage-free eggs by volume.,2009
env,Dover,"[10, 11, 307, 308, 330, 327, 97]","[391, 395, 232, 317, 390, 293, 314, 95]","[284, 402, 273, 269, 274, 267, 222, 99, 331, 346]",19,,-,regarding a climate change report.,2009
env,DOW Chemical Company,"[284, 268, 226, 273, 224, 269, 277, 274, 267, 222, 316, 99, 331, 275, 11, 308]",[],[],20,,-,Report on Environmental Remediation in Midland Are,2009
env,Dynegy,"[11, 308, 327, 97]",[],"[284, 269, 274, 222, 331, 343]",21,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2009
env,Exelon,"[284, 226, 282, 224, 269, 270, 279, 274, 222, 316, 331, 394, 221, 344, 392, 348, 11, 308, 327, 97]","[18, 391, 404, 395, 317, 314, 95]",[],22,http://www.sec.gov/Archives/edgar/data/1109357/000119312509058284/ddef14a.htm,3.28,prepare a report showing that exelon's actions to reduce global warming have reduced mean global temperature or avoided disasters.,2009
env,Exxon Mobil,"[13, 14, 13, 11, 15, 303, 306, 305, 303, 308, 330, 325, 327, 97]","[18, 391, 404, 395, 314, 95]","[284, 268, 282, 273, 281, 269, 277, 270, 274, 267, 222, 316, 99, 331, 394, 220, 221, 312, 276, 350, 275, 344, 348]",23,http://www.sec.gov/Archives/edgar/data/34088/000119312509077572/ddef14a.htm,27.3,Adopt Policy to Increase Renewable Energy,2009
env,Exxon Mobil,"[13, 14, 13, 11, 15, 303, 306, 305, 303, 308, 284, 268, 282, 273, 281, 269, 277, 270, 274, 267, 222, 316, 99, 331, 394, 220, 221, 312, 276, 350, 275, 344, 348, 330, 325, 327, 97]",[],[],24,http://www.sec.gov/Archives/edgar/data/34088/000119312509077572/ddef14a.htm,29.0,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2009
env,Exxon Mobil,[],"[18, 391, 404, 395, 314, 95]",[],25,http://www.sec.gov/Archives/edgar/data/34088/000119312509077572/ddef14a.htm,10.0,Climate change and technology report (page 65),2009
env,Exxon Mobil,"[13, 14, 13, 11, 15, 303, 306, 305, 303, 308, 284, 268, 282, 273, 281, 269, 277, 270, 274, 267, 222, 316, 99, 331, 394, 220, 221, 312, 276, 350, 275, 344, 348, 330, 325, 327, 97]",[],[],26,http://www.sec.gov/Archives/edgar/data/34088/000119312509077572/ddef14a.htm,10.0,Report on Climate Change Impacts on Emerging Countries,2009
env,Fifth Third Bancorp,"[274, 11, 308, 97]","[391, 395, 95]",[118],27,,-,Proposal to request the board of directors to prepare and publish a sustainability report.,2009
env,Freeport-McMoran Copper & Gold,"[14, 13, 11, 13, 15, 303, 306, 305, 303, 306, 308, 327, 97]",[],"[282, 283, 270, 274, 345, 394, 16, 221, 343, 341, 344, 348]",28,,-,Request Director Nominee Environmental Qualifications,2009
env,Great-West Lifeco,"[126, 413, 125]",[],[],29,,-,Report on Impact of Climate Change on,2009
env,Home Depot .,"[282, 270, 274, 316, 394, 221, 344, 348, 11, 308, 327, 97]",[],[118],30,,-,Assess Energy Use and Establish Reduction Targets,2009
env,Ingles Markets,[],[395],[],31,,-,"Stockholder proposal regarding animal welfare progress report resolved that shareholders request that the board of directors issue a report detailing any progress made toward adopting animal welfare policies pertaining to the purchasing of pork, eggs, and poultry. the report should be prepared by august 2009 and should exclude",2009
env,International Coal Group,[],"[395, 288]",[],32,,-,Shareholder proposal regarding global warming.,2009
env,Kansai Electric Power,"[126, 126, 131, 124, 409, 106, 107, 107, 116, 107]",[],[],33,,-,"Amend Articles to Require Pledge to Replace Nuclear Power with Natural Renewable Energy, in Pursuit of Energy Source Sustainability",2009
